"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"15","DESKTOP-CV71TUK","System.Byte[]","738","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/7/2023 12:10:09 AM","12/7/2023 12:10:09 AM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","737","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/7/2023 12:10:09 AM","12/7/2023 12:10:09 AM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","736","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/7/2023 12:09:39 AM","12/7/2023 12:09:39 AM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","735","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/7/2023 12:09:39 AM","12/7/2023 12:09:39 AM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","734","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/7/2023 12:06:06 AM","12/7/2023 12:06:06 AM",,,
"16384","DESKTOP-CV71TUK","System.Byte[]","733","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-08T04:52:20Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/7/2023 12:03:20 AM","12/7/2023 12:03:20 AM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","732","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/7/2023 12:03:14 AM","12/7/2023 12:03:14 AM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","731","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/7/2023 12:03:14 AM","12/7/2023 12:03:14 AM",,,
"16394","DESKTOP-CV71TUK","System.Byte[]","730","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/7/2023 12:02:41 AM","12/7/2023 12:02:41 AM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","729","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/7/2023 12:00:52 AM","12/7/2023 12:00:52 AM",,,
"8224","DESKTOP-CV71TUK","System.Byte[]","728","(0)","0","Information","The VSS service is shutting down due to idle timeout.
","VSS","System.String[]","8224","12/6/2023 11:55:38 PM","12/6/2023 11:55:38 PM",,,
"16384","DESKTOP-CV71TUK","System.Byte[]","727","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-08T04:53:06Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/6/2023 11:55:06 PM","12/6/2023 11:55:06 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","726","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/6/2023 11:54:38 PM","12/6/2023 11:54:38 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","725","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/6/2023 11:54:38 PM","12/6/2023 11:54:38 PM",,,
"1","DESKTOP-CV71TUK","System.Byte[]","724","(0)","0","Information","The Windows Security Center Service has started.","SecurityCenter","System.String[]","1","12/6/2023 11:54:36 PM","12/6/2023 11:54:36 PM",,,
"16394","DESKTOP-CV71TUK","System.Byte[]","723","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/6/2023 11:54:36 PM","12/6/2023 11:54:36 PM",,,
"900","DESKTOP-CV71TUK","System.Byte[]","722","(0)","0","Information","The Software Protection service is starting.
Parameters:<explicit>","Software Protection Platform Service","System.String[]","1073742724","12/6/2023 11:54:36 PM","12/6/2023 11:54:36 PM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","721","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/6/2023 11:54:35 PM","12/6/2023 11:54:35 PM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","720","(0)","0","Information","The description for Event ID '0' in Source 'gupdatem' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdatem","System.String[]","0","12/6/2023 11:54:29 PM","12/6/2023 11:54:29 PM",,,
"903","DESKTOP-CV71TUK","System.Byte[]","719","(0)","0","0","The Software Protection service has stopped.
","Software Protection Platform Service","System.String[]","1073742727","12/6/2023 11:54:00 PM","12/6/2023 11:54:00 PM",,,
"16384","DESKTOP-CV71TUK","System.Byte[]","718","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-08T04:53:00Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/6/2023 11:54:00 PM","12/6/2023 11:54:00 PM",,,
"8198","DESKTOP-CV71TUK","System.Byte[]","717","(0)","0","Error","License Activation (slui.exe) failed with the following error code:
hr=0xC004F074
Command-line arguments:
RuleId=eeba1977-569e-4571-b639-7623d8bfecc0;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee;NotificationInterval=1440;Trigger=UserLogon;SessionId=1","Software Protection Platform Service","System.String[]","3221233670","12/6/2023 11:53:30 PM","12/6/2023 11:53:30 PM",,,
