"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"7040","DESKTOP-CV71TUK","System.Byte[]","1255","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/7/2023 12:12:02 AM","12/7/2023 12:12:02 AM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-CV71TUK","System.Byte[]","1254","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/7/2023 12:10:00 AM","12/7/2023 12:10:00 AM","NT AUTHORITY\SYSTEM",,
"1","DESKTOP-CV71TUK","System.Byte[]","1253","(5)","5","Information","Possible detection of CVE: 2023-12-07T05:09:52.963751100Z
Additional Information: 2023-12-07T05:09:52.960507300Z

This Event is generated when an attempt to exploit a known vulnerability (2023-12-07T05:09:52.963751100Z) is detected.
This Event is raised by a User mode process.
","Microsoft-Windows-Kernel-General","System.String[]","1","12/7/2023 12:09:52 AM","12/7/2023 12:09:52 AM","NT AUTHORITY\LOCAL SERVICE",,
"35","DESKTOP-CV71TUK","System.Byte[]","1252","(0)","0","Information","The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123) with reference id 1255620008. Current local stratum number is 4.","Microsoft-Windows-Time-Service","System.String[]","35","12/7/2023 12:09:52 AM","12/7/2023 12:09:52 AM","NT AUTHORITY\LOCAL SERVICE",,
"37","DESKTOP-CV71TUK","System.Byte[]","1251","(0)","0","Information","The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->168.61.215.74:123).","Microsoft-Windows-Time-Service","System.String[]","37","12/7/2023 12:09:38 AM","12/7/2023 12:09:38 AM","NT AUTHORITY\LOCAL SERVICE",,
"7040","DESKTOP-CV71TUK","System.Byte[]","1250","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/7/2023 12:07:57 AM","12/7/2023 12:07:57 AM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-CV71TUK","System.Byte[]","1249","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/7/2023 12:05:55 AM","12/7/2023 12:05:55 AM","NT AUTHORITY\SYSTEM",,
"19","DESKTOP-CV71TUK","System.Byte[]","1248","(1)","1","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.70.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","12/7/2023 12:03:18 AM","12/7/2023 12:03:18 AM","NT AUTHORITY\SYSTEM",,
"43","DESKTOP-CV71TUK","System.Byte[]","1247","(1)","1","Information","Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.403.70.0) - Current Channel (Broad)","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","12/7/2023 12:02:55 AM","12/7/2023 12:02:55 AM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-CV71TUK","System.Byte[]","1246","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/7/2023 12:02:52 AM","12/7/2023 12:02:52 AM","NT AUTHORITY\SYSTEM",,
"44","DESKTOP-CV71TUK","System.Byte[]","1245","(1)","1","Information","Windows Update started downloading an update.","Microsoft-Windows-WindowsUpdateClient","System.String[]","44","12/7/2023 12:02:49 AM","12/7/2023 12:02:49 AM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-CV71TUK","System.Byte[]","1244","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","12/7/2023 12:00:37 AM","12/7/2023 12:00:37 AM","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-CV71TUK","System.Byte[]","1243","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","12/6/2023 11:58:31 PM","12/6/2023 11:58:31 PM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-CV71TUK","System.Byte[]","1242","(0)","0","Error","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.SecurityAppBroker', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","12/6/2023 11:54:36 PM","12/6/2023 11:54:36 PM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-CV71TUK","System.Byte[]","1241","(0)","0","Error","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.WscBrokerManager', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","12/6/2023 11:54:36 PM","12/6/2023 11:54:36 PM","NT AUTHORITY\SYSTEM",,
"10016","DESKTOP-CV71TUK","System.Byte[]","1240","(0)","0","Error","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.WscDataProtection', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","12/6/2023 11:54:36 PM","12/6/2023 11:54:36 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-CV71TUK","System.Byte[]","1239","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'87', '\??\C:\Users\Justin\AppData\Local\Packages\InputApp_cw5n1h2txyewy\Settings\settings.dat', '2', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","12/6/2023 11:54:25 PM","12/6/2023 11:54:25 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-CV71TUK","System.Byte[]","1238","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'104', '\??\C:\Users\Justin\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat', '89', '10'","Microsoft-Windows-Kernel-General","System.String[]","16","12/6/2023 11:53:08 PM","12/6/2023 11:53:08 PM","NT AUTHORITY\SYSTEM",,
"16","DESKTOP-CV71TUK","System.Byte[]","1237","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'116', '\??\C:\Users\Justin\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat', '4', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","12/6/2023 11:53:08 PM","12/6/2023 11:53:08 PM","NT AUTHORITY\SYSTEM",,
