"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Listen",,"InHost",,,,"::++49681++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:43 PM","::","49681","636","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:35 PM","::","49668","628","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:34 PM","::","49667","2044","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:34 PM","::","49666","1560","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:34 PM","::","49665","1152","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:33 PM","::","49664","492","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:35 PM","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:33 PM","::","135","888","::","0",
"Bound",,"InHost",,,,"0.0.0.0++55648++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/7/2023 2:30:50 AM","0.0.0.0","55648","5800","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49702++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:54:33 PM","0.0.0.0","49702","5800","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49678++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:42 PM","0.0.0.0","49678","2508","0.0.0.0","0",
"Established","Internet","InHost",,,,"184.171.147.150++55648++140.82.112.25++443",,,,,,,,,,,,"2",,,"5",,"12",,,"12/7/2023 2:30:50 AM","184.171.147.150","55648","5800","140.82.112.25","443",
"Established","Internet","InHost",,,,"184.171.147.150++49702++142.251.167.188++5228",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:54:33 PM","184.171.147.150","49702","5800","142.251.167.188","5228",
"Listen",,"InHost",,,,"0.0.0.0++49681++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:43 PM","0.0.0.0","49681","636","0.0.0.0","0",
"Established","Internet","InHost",,,,"184.171.147.150++49678++52.159.126.152++443",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:42 PM","184.171.147.150","49678","2508","52.159.126.152","443",
"Listen",,"InHost",,,,"0.0.0.0++49668++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:35 PM","0.0.0.0","49668","628","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:34 PM","0.0.0.0","49667","2044","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:34 PM","0.0.0.0","49666","1560","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:34 PM","0.0.0.0","49665","1152","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:33 PM","0.0.0.0","49664","492","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++5040++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:43 PM","0.0.0.0","5040","3660","0.0.0.0","0",
"Listen",,"InHost",,,,"184.171.147.150++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:37 PM","184.171.147.150","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"12/6/2023 11:52:33 PM","0.0.0.0","135","888","0.0.0.0","0",
