"ProcessName","Path","Id"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1052"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2148"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2748"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","3340"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","4700"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","4936"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","5088"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","5144"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","5216"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","5256"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","5368"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","5392"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","6224"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","6616"
"conhost","C:\Windows\system32\conhost.exe","2632"
"csrss",,"408"
"csrss",,"6164"
"ctfmon",,"2940"
"dllhost",,"3628"
"dllhost","C:\Windows\system32\DllHost.exe","4580"
"dwm",,"6108"
"explorer","C:\Windows\Explorer.EXE","4688"
"fontdrvhost",,"780"
"fontdrvhost",,"6992"
"GoogleCrashHandler",,"3920"
"GoogleCrashHandler64",,"2520"
"Idle",,"0"
"lsass",,"652"
"Memory Compression",,"2332"
"msdtc",,"3148"
"MsMpEng",,"4648"
"NisSrv",,"6816"
"notepad","C:\Windows\system32\NOTEPAD.EXE","3240"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","6676"
"Registry",,"88"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","416"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5900"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5936"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","6596"
"SecurityHealthService",,"6468"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","6820"
"services",,"644"
"SgrmBroker",,"5264"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","6996"
"sihost","C:\Windows\system32\sihost.exe","5616"
"smss",,"304"
"spoolsv",,"2664"
"svchost",,"400"
"svchost",,"724"
"svchost",,"760"
"svchost",,"856"
"svchost",,"912"
"svchost",,"944"
"svchost",,"1164"
"svchost",,"1208"
"svchost",,"1276"
"svchost",,"1348"
"svchost",,"1356"
"svchost",,"1436"
"svchost",,"1532"
"svchost",,"1604"
"svchost",,"1664"
"svchost",,"1680"
"svchost",,"1688"
"svchost",,"1704"
"svchost",,"1728"
"svchost",,"1764"
"svchost",,"1784"
"svchost",,"1920"
"svchost",,"1944"
"svchost",,"2052"
"svchost",,"2076"
"svchost",,"2172"
"svchost",,"2208"
"svchost",,"2224"
"svchost",,"2244"
"svchost",,"2348"
"svchost",,"2384"
"svchost",,"2440"
"svchost",,"2584"
"svchost",,"2704"
"svchost",,"2752"
"svchost",,"2808"
"svchost",,"2996"
"svchost",,"3084"
"svchost",,"3092"
"svchost",,"3208"
"svchost",,"3384"
"svchost","C:\Windows\system32\svchost.exe","4328"
"svchost",,"4412"
"svchost",,"4828"
"svchost",,"4836"
"svchost",,"4872"
"svchost",,"5188"
"svchost",,"5332"
"svchost",,"5760"
"svchost","C:\Windows\system32\svchost.exe","5820"
"svchost",,"5952"
"svchost","C:\Windows\system32\svchost.exe","6104"
"svchost","C:\Windows\system32\svchost.exe","6376"
"System",,"4"
"taskhostw","C:\Windows\system32\taskhostw.exe","6644"
"VGAuthService",,"3160"
"vm3dservice",,"3192"
"vm3dservice",,"7160"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","924"
"vmtoolsd",,"3180"
"wininit",,"512"
"winlogon",,"6304"
"WmiPrvSE",,"2928"
